2018 SOC Code,Occupation,Probability,TOT_EMP,percentile_rank
51-6063,"Textile knitting and weaving machine setters, operators, and tenders",0.73,14530,53.407026932729664
11-3012,Administrative services managers,0.73,254140,53.592838976105014
11-3013,Administrative services managers,0.73,141090,53.69599558742093
47-2121,Glaziers,0.73,57000,53.73767059518199
51-2021,"Coil winders, tapers, and finishers",0.73,12170,53.74656857490921
49-3031,Bus and truck mechanics and diesel engine specialists,0.73,287230,53.956574057000594
49-2011,"Computer, automated teller, and office machine repairers",0.74,73010,54.00995462395909
31-1122,Personal care aides,0.74,0,54.00995462395909
27-4012,Broadcast technicians,0.74,21080,54.02536706542581
47-3013,Helpers–electricians,0.74,64440,54.07248175841042
11-9131,Postmasters and mail superintendents,0.75,13810,54.08257880853638
47-2044,Tile and marble setters,0.75,38740,54.11090319100417
47-2141,"Painters, construction and maintenance",0.75,224180,54.274810265387906
53-6061,"Transportation attendants, except flight attendants",0.75,25340,54.29333736532941
17-3022,Civil engineering technicians,0.75,62130,54.33876312378896
