state_fips,person_type,age,weight_cmp,weight_or,occ2018,citizenship,nativity_country,year_of_entry,mlr_status,in_civ_lf,emp_recode,foreign_born,non_cit_foreign,nativity_flag,emp_status
11,2.0,27.0,4230565.0,17623471.0,2310,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
11,2.0,26.0,4230565.0,17623471.0,4760,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
11,2.0,25.0,4255058.0,0.0,4700,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
11,2.0,70.0,3490069.0,14224931.0,2100,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
11,2.0,26.0,4255058.0,0.0,1021,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
11,2.0,28.0,6536759.0,0.0,1240,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
11,2.0,25.0,6536759.0,0.0,2722,5.0,117.0,26.0,1.0,1.0,1.0,1,1,1,EMPLOYED
11,2.0,49.0,6520582.0,0.0,9110,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
11,2.0,30.0,12818105.0,60628267.0,4510,1.0,57.0,0.0,2.0,1.0,1.0,0,0,0,EMPLOYED
11,2.0,75.0,3615897.0,12989443.0,4220,4.0,462.0,4.0,1.0,1.0,1.0,1,0,1,EMPLOYED
11,2.0,51.0,4501832.0,0.0,0705,4.0,224.0,27.0,1.0,1.0,1.0,1,0,1,EMPLOYED
11,2.0,74.0,2818010.0,0.0,0420,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
11,2.0,26.0,4077959.0,0.0,1800,1.0,57.0,0.0,4.0,1.0,2.0,0,0,0,UNEMPLOYED
11,2.0,36.0,3522587.0,0.0,0350,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
11,2.0,24.0,5793949.0,0.0,2310,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
11,2.0,49.0,4263759.0,0.0,1800,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
